electorate,pre,post,swing
Aston,-7.4,-10.2,-2.8
Ballarat,7.4,11,3.6
Bendigo,3.9,9.1,5.2
Bruce,14.1,14.2,0.1
Calwell,19.7,18.8,-0.9
Casey,-4.5,-4.7,-0.2
Chisholm,-2.9,-0.6,2.3
Cooper,22,26.4,4.4
Corangamite,0.03,1.1,1.07
Corio,8.2,10.4,2.2
Deakin,-6.4,-4.8,1.6
Dunkley,1,2.8,1.8
Flinders,-7,-5.7,1.3
Fraser,19.8,14.2,-5.6
Gellibrand,15.1,14.9,-0.2
Gippsland,-18.2,-16.7,1.5
Goldstein,-12.7,-7.8,4.9
Gorton,18.5,15.4,-3.1
Higgins,-10.1,-3.9,6.2
Holt,9.9,8.7,-1.2
Hotham,4.2,6,1.8
Indi,-4.4,-12.8,-8.4
Isaacs,3,6.5,3.5
Jagajaga,5.6,6.6,1
Kooyong,-12.8,-6.7,6.1
La Trobe,-3.2,-4.5,-1.3
Lalor,14.2,12.5,-1.7
Macnamara,1.2,6.3,5.1
Mallee,-19.8,-16.3,3.5
Maribyrnong,10.4,11.3,0.9
Mcewen,6,5.1,-0.9
Melbourne,16.57,17.1,0.53
Menzies,-7.8,-7.6,0.2
Monash,-7.5,-7.4,0.1
Nicholls,-22.6,-20.1,2.5
Scullin,19.6,21.7,2.1
Wannon,-9.2,-10.4,-1.2
Wills,21.6,25.9,4.3
